SOP Type,SOP Number,Document Date,Corporate Customer Number,Customer Number,Customer Name,Country from Customer Master,Sales Territory,Item Number,Item Class Code,Item Description,COGS Account Number,PriceLevel,QTY,Unit Price,Markdown Amount,Extended Price,Void Status
Invoice,4197LD(3)C,4/1/2009,,306,Aeroflex (Main Office),United States,NORTH AMERICA,MWO-228-T3W,MWO-TERM,MWO for MMIC; Term/WAN 3 TZ/Win,000-2300-00,AWR,2,5005.00,750.75,8508.50,Normal
Invoice,4197LD(3)C,4/1/2009,,306,Aeroflex (Main Office),United States,NORTH AMERICA,MWO-225-T3W,MWO-TERM,MWO for MIC/PCB; Term/WAN 3 TZ/Win,000-2300-00,AWR,3,3640.00,546.00,9282.00,Normal
Invoice,4197LD(3)C,4/1/2009,,306,Aeroflex (Main Office),United States,NORTH AMERICA,MWO-105-T3W,MWO-TERM,MWO Linear & Layout; Term/WAN 3 TZ/Win,000-2300-00,AWR,1,1820.00,273.00,1547.00,Normal
Invoice,4197LD(3)C,4/1/2009,,306,Aeroflex (Main Office),United States,NORTH AMERICA,MOD-100-T3W,,Modelithics CLR Library. Term 3-TZ WAN ofr Win,300-4420-00,,1,1516.75,227.57,1289.18,Normal
Invoice,4197LD(3)C,4/1/2009,,306,Aeroflex (Main Office),United States,NORTH AMERICA,VSS-250-T3W,VSS-TERM,VSS for Communication Signals; Term/WAN 3 TZ/Win,000-2300-00,AWR,1,2730.00,409.50,2320.50,Normal
Invoice,4847TI(2)D,4/1/2009,,396,Microelectronics Technology,"Taiwan,",ASIA,MWO-225-TFW,MWO-TERM,MWO for MIC/PCB; Term/Floating/Win,000-2300-00,INT,20,4095.00,3157.50,18750.00,Normal
Invoice,4886TD(2)D,4/1/2009,,10030073,Wavestream,United States,NORTH AMERICA,MWO-228-TLW,MWO-TERM,MWO for MMIC; Term/Locked/Win,000-2300-00,AWR,4,2887.50,222.58,10659.68,Normal
Invoice,4886TD(2)D,4/1/2009,,10030073,Wavestream,United States,NORTH AMERICA,MWO-228-TFW,MWO-TERM,MWO for MMIC; Term/Floating/Win,000-2300-00,AWR,3,3850.00,296.77,10659.69,Normal
Invoice,4886TD(2)D,4/1/2009,,10030073,Wavestream,United States,NORTH AMERICA,VSS-350-TLW,VSS-TERM,VSS for Wireless Communication Standards; Term/Locked/Win,000-2300-00,AWR,1,2100.00,161.88,1938.12,Normal
Invoice,5367UI(2),4/1/2009,1601,9407,Chugoku Polytechnic College,Japan,ASIA,MWO-225-UFW,MWO-UNIV,Microwave Office University 20-License Package,300-4000-00,CYB,2,2533.57,1914.25,1238.63,Normal
