SOP Type,SOP Number,Document Date,Corporate Customer Number,Customer Number,Customer Name,Country from Customer Master,Sales Territory,Item Number,Item Class Code,Item Description,COGS Account Number,PriceLevel,QTY,Unit Price,Markdown Amount,Extended Price,Void Status
Invoice,4197LD(2)D,7/1/2008,,306,Aeroflex (Main Office),United States,NORTH AMERICA,MOD-100-T3W,,Modelithics CLR Model Library.  Term 3-TZ WAN for Win.,300-4420-00,AWR,1,1516.75,227.57,1289.18,Normal
Invoice,4197LD(2)D,7/1/2008,,306,Aeroflex (Main Office),United States,NORTH AMERICA,MWO-105-T3W,MWO-TERM,MWO Linear & Layout; Term/WAN 3 TZ/Win,000-2300-00,AWR,1,1820,273,1547,Normal
Invoice,4197LD(2)D,7/1/2008,,306,Aeroflex (Main Office),United States,NORTH AMERICA,MWO-225-T3W,MWO-TERM,MWO for MIC/PCB; Term/WAN 3 TZ/Win,000-2300-00,AWR,3,3640,546,9282,Normal
Invoice,4197LD(2)D,7/1/2008,,306,Aeroflex (Main Office),United States,NORTH AMERICA,MWO-228-T3W,MWO-TERM,MWO for MMIC; Term/WAN 3 TZ/Win,000-2300-00,AWR,2,5005,750.75,8508.5,Normal
Invoice,4197LD(2)D,7/1/2008,,306,Aeroflex (Main Office),United States,NORTH AMERICA,VSS-250-T3W,VSS-TERM,VSS for Communication Signals; Term/WAN 3 TZ/Win,000-2300-00,AWR,1,2730,409.5,2320.5,Normal
Invoice,4886TD(2),7/1/2008,,10030073,Wavestream,United States,NORTH AMERICA,MWO-228-TFW,MWO-TERM,MWO for MMIC; Term/Floating/Win,000-2300-00,AWR,3,15400,1187.08,42638.76,Normal
Invoice,4886TD(2),7/1/2008,,10030073,Wavestream,United States,NORTH AMERICA,MWO-228-TLW,MWO-TERM,MWO for MMIC; Term/Locked/Win,000-2300-00,AWR,4,11550,890.31,42638.76,Normal
Invoice,4886TD(2),7/1/2008,,10030073,Wavestream,United States,NORTH AMERICA,VSS-350-TLW,VSS-TERM,VSS for Wireless Communication Standards; Term/Locked/Win,000-2300-00,AWR,1,8400,647.52,7752.48,Normal
Invoice,4886TD(2)A,7/1/2008,,10030073,Wavestream,United States,NORTH AMERICA,MWO-228-TFW,MWO-TERM,MWO for MMIC; Term/Floating/Win,000-2300-00,AWR,3,3850,296.77,10659.69,Normal
Invoice,4886TD(2)A,7/1/2008,,10030073,Wavestream,United States,NORTH AMERICA,MWO-228-TLW,MWO-TERM,MWO for MMIC; Term/Locked/Win,000-2300-00,AWR,4,2887.5,222.58,10659.68,Normal
Invoice,4886TD(2)A,7/1/2008,,10030073,Wavestream,United States,NORTH AMERICA,VSS-350-TLW,VSS-TERM,VSS for Wireless Communication Standards; Term/Locked/Win,000-2300-00,AWR,1,2100,161.88,1938.12,Normal
Return,4886TD(2)RETURN,7/1/2008,,10030073,Wavestream,United States,NORTH AMERICA,MWO-228-TFW,MWO-TERM,MWO for MMIC; Term/Floating/Win,000-2300-00,AWR,3,15400,1187.08,42638.76,Normal
Return,4886TD(2)RETURN,7/1/2008,,10030073,Wavestream,United States,NORTH AMERICA,MWO-228-TLW,MWO-TERM,MWO for MMIC; Term/Locked/Win,000-2300-00,AWR,4,11550,890.31,42638.76,Normal
Return,4886TD(2)RETURN,7/1/2008,,10030073,Wavestream,United States,NORTH AMERICA,VSS-350-TLW,VSS-TERM,VSS for Wireless Communication Standards; Term/Locked/Win,000-2300-00,AWR,1,8400,647.52,7752.48,Normal
Invoice,5150TMI-2,7/1/2008,1541,551,Rohde & Schwarz,Germany,EUROPE,APL-100-TFW,APL-TERM,APLAC Time-Domain Simulator; Term/Floating/Win,000-2300-00,INT,5,5573.75,1299.87,21369.4,Normal
Invoice,5150TMI-2,7/1/2008,1541,551,Rohde & Schwarz,Germany,EUROPE,FIL-100-MFW,FIL-MAIN,Nuhertz Filter Synthesis; 12M Maint/Floating/Win,000-2301-00,INT,5,1492.97,348.18,5723.95,Normal
Invoice,5150TMI-2,7/1/2008,1541,551,Rohde & Schwarz,Germany,EUROPE,MWO-225-MFW,MWO-MAIN,MWO for MIC/PCB; 12M Maint/Floating/Win,000-2301-00,INT,20,5374.69,1253.45,82424.8,Normal
Invoice,5150TMI-2,7/1/2008,1541,551,Rohde & Schwarz,Germany,EUROPE,MWO-225-TFW,MWO-TERM,MWO for MIC/PCB; Term/Floating/Win,000-2300-00,INT,5,12540.94,2924.71,48081.15,Normal
Invoice,5150TMI-2,7/1/2008,1541,551,Rohde & Schwarz,Germany,EUROPE,TSW-100-MFW,TSW-MAIN,TestWave Instrumentation Interface; 12M Maint/Floating/Win,000-2301-00,INT,2,995.32,232.12,1526.4,Normal
Invoice,5150TMI-2,7/1/2008,1541,551,Rohde & Schwarz,Germany,EUROPE,VSS-350-MFW,VSS-MAIN,VSS for Wireless Communication Standards; 12M Maint/Floating/Win,000-2301-00,INT,2,4777.48,1114.18,7326.6,Normal
Invoice,5150TMI-2,7/1/2008,1541,551,Rohde & Schwarz,Germany,EUROPE,VSS-350-TFW,VSS-TERM,VSS for Wireless Communication Standards; Term/Floating/Win,000-2300-00,INT,1,11107.45,2559.75,8547.7,Normal
