SOP Type,SOP Number,Document Date,Corporate Customer Number,Customer Number,Customer Name,Country from Customer Master,Sales Territory,Item Number,Item Class Code,Item Description,COGS Account Number,PriceLevel,QTY,Unit Price,Markdown Amount,Extended Price,Void Status
Invoice,3788LI(3),4/1/2008,2343,10040048,Filtronics,,EUROPE,MWO-228-TLW,MWO-TERM,MWO for MMIC; Term/Locked/Win,000-2300-00,INT,40,17225.69,13059.92,166630.75,Normal
Invoice,3788LI(3),4/1/2008,2343,10040048,Filtronics,,EUROPE,VSS-350-TLW,VSS-TERM,VSS for Wireless Communication Standards; Term/Locked/Win,000-2300-00,INT,1,12527.23,8361.46,4165.77,Normal
Invoice,3788LI(3),4/1/2008,2343,10040048,Filtronics,,EUROPE,WIZ-100-TLW,WIZ-TERM,Library Development Wizard; Term/Locked/Win,000-2300-00,INT,4,15659.54,15659.54,0,Normal
Invoice,3788LI(3)P,4/1/2008,2343,9170,Powerwave,United Kingdom,EUROPE,MWO-228-TLW,MWO-TERM,MWO for MMIC; Term/Locked/Win,000-2300-00,INT,27,17225.69,13059.92,112475.76,Normal
Invoice,4197LD(2)C,4/1/2008,,306,Aeroflex (Main Office),United States,NORTH AMERICA,MOD-100-T3W,,Modelithics CLR Model Library.  Term 3-TZ WAN for Win.,300-4420-00,AWR,1,1516.75,227.57,1289.18,Normal
Invoice,4197LD(2)C,4/1/2008,,306,Aeroflex (Main Office),United States,NORTH AMERICA,MWO-105-T3W,MWO-TERM,MWO Linear & Layout; Term/WAN 3 TZ/Win,000-2300-00,AWR,1,1820,273,1547,Normal
Invoice,4197LD(2)C,4/1/2008,,306,Aeroflex (Main Office),United States,NORTH AMERICA,MWO-225-T3W,MWO-TERM,MWO for MIC/PCB; Term/WAN 3 TZ/Win,000-2300-00,AWR,3,3640,546,9282,Normal
Invoice,4197LD(2)C,4/1/2008,,306,Aeroflex (Main Office),United States,NORTH AMERICA,MWO-228-T3W,MWO-TERM,MWO for MMIC; Term/WAN 3 TZ/Win,000-2300-00,AWR,2,5005,750.75,8508.5,Normal
Invoice,4197LD(2)C,4/1/2008,,306,Aeroflex (Main Office),United States,NORTH AMERICA,VSS-250-T3W,VSS-TERM,VSS for Communication Signals; Term/WAN 3 TZ/Win,000-2300-00,AWR,1,2730,409.5,2320.5,Normal
Invoice,5491CI,4/4/2008,1601,3383,Toshiba Corporation,Japan,ASIA,TSW-100-MLW,TSW-MAIN,TestWave Instrumentation Interface; 12M Maint/Locked/Win,000-2301-00,CYB,1,765.22,0,765.22,Normal
Invoice,5491CI,4/4/2008,1601,3383,Toshiba Corporation,Japan,ASIA,TSW-100-PLW,TSW-PURC,TestWave Instrumentation Interface; Purchase/Locked/Win,300-4000-00,CYB,1,5084.86,2434.3,2650.56,Normal
Invoice,5491CI,4/4/2008,1601,3383,Toshiba Corporation,Japan,ASIA,VSS-350-MLW,VSS-MAIN,VSS for Wireless Communication Standards; 12M Maint/Locked/Win,000-2301-00,CYB,1,3659.77,0,3659.77,Normal
Invoice,5491CI,4/4/2008,1601,3383,Toshiba Corporation,Japan,ASIA,VSS-350-PLW,VSS-PURC,VSS for Wireless Communication Standards; Purchase/Locked/Win,300-4020-00,CYB,1,24398.44,11511.63,12886.81,Normal
Invoice,5496CI,4/4/2008,1450,6586,Research Centre Imarat (RCI),India,ASIA,MWO-225-MLW,MWO-MAIN,MWO for MIC/PCB; 12M Maint/Locked/Win,000-2301-00,RES40,1,2633,0,2633,Normal
Invoice,5496CI,4/4/2008,1450,6586,Research Centre Imarat (RCI),India,ASIA,MWO-225-PLW,MWO-PURC,MWO for MIC/PCB; Purchase/Locked/Win,300-4015-00,RES40,1,17550,1540,16010,Normal
Invoice,5496CI,4/4/2008,1450,6586,Research Centre Imarat (RCI),India,ASIA,TSW-100-MLW,TSW-MAIN,TestWave Instrumentation Interface; 12M Maint/Locked/Win,000-2301-00,RES40,1,799.5,0,799.5,Normal
Invoice,5496CI,4/4/2008,1450,6586,Research Centre Imarat (RCI),India,ASIA,TSW-100-PLW,TSW-PURC,TestWave Instrumentation Interface; Purchase/Locked/Win,300-4000-00,RES40,1,5330,468,4862,Normal
Invoice,5496CI,4/4/2008,1450,6586,Research Centre Imarat (RCI),India,ASIA,VSS-250-MLW,VSS-MAIN,VSS for Communication Signals; 12M Maint/Locked/Win,000-2301-00,RES40,1,1755,0,1755,Normal
Invoice,5496CI,4/4/2008,1450,6586,Research Centre Imarat (RCI),India,ASIA,VSS-250-PLW,VSS-PURC,VSS for Communication Signals; Purchase/Locked/Win,300-4020-00,RES40,1,11700,1026.5,10673.5,Normal
Invoice,5499CI,4/4/2008,1450,4467,Bharat Electronics - Central Research Lab.,India,ASIA,MWO-225-MLW,MWO-MAIN,MWO for MIC/PCB; 12M Maint/Locked/Win,000-2301-00,RES40,1,9477,0,9477,Normal
Invoice,5499CI,4/4/2008,1450,4467,Bharat Electronics - Central Research Lab.,India,ASIA,MWO-225-PLW,MWO-PURC,MWO for MIC/PCB; Purchase/Locked/Win,300-4015-00,RES40,1,21060,6251,14809,Normal
Invoice,5500CI,4/4/2008,1450,9440,Centum Electronics Limited-Bangalore,India,ASIA,MWO-225-MLW,MWO-MAIN,MWO for MIC/PCB; 12M Maint/Locked/Win,000-2301-00,RES40,1,3159,0,3159,Normal
Invoice,5500CI,4/4/2008,1450,9440,Centum Electronics Limited-Bangalore,India,ASIA,MWO-225-PLW,MWO-PURC,MWO for MIC/PCB; Purchase/Locked/Win,300-4015-00,RES40,1,21060,5648,15412,Normal
Invoice,5504CI-UP,4/4/2008,1601,8699,Hitachi Cable Ltd,Japan,ASIA,UPG-MAINT,,Upgrade associated maint. 7-months,300-4000-00,,1,1341.91,0,1341.91,Normal
Invoice,5504CI-UP,4/4/2008,1601,8699,Hitachi Cable Ltd,Japan,ASIA,UPG-PROD,,Upgrade from MWO-105-PL to MWO-225-PL,300-4015-00,CYB,1,15249.03,3027.62,12221.4,Normal
Invoice,5511CD,4/4/2008,,7390,Litepoint,United States,NORTH AMERICA,HWK-200,HWK-PURC,Hardware Key - USB,300-4000-00,AWR,1,150,150,0,Normal
