SOP Type,SOP Number,Document Date,Corporate Customer Number,Customer Number,Customer Name,Country from Customer Master,Sales Territory,Item Number,Item Class Code,Item Description,COGS Account Number,PriceLevel,QTY,Unit Price,Markdown Amount,Extended Price,Void Status
Invoice,4847TI(4)C,1/1/2011,,396,Microelectronics Technology,Taiwan,ASIA,MWO-225-TFW,MWO-TERM,MWO for MIC/PCB; Term/Floating/Win,000-2300-00,INT,20,4095.00,3157.50,18750.00,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,MWO-105-P0W,MWO-PURC,MWO Linear & Layout; Purchase/WAN WW/Win,300-4015-00,AWR,2,733.50,580.50,306.00,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,MWO-125-P0W,MWO-PURC,"MWO Linear, EMSight, & Layout; Purchase/WAN WW/Win",300-4015-00,AWR,2,1100.00,870.50,459.00,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,MWO-225-P0W,MWO-PURC,MWO for MIC/PCB; Purchase/WAN WW/Win,300-4015-00,AWR,2,1466.50,1160.00,613.00,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,UPG-PROD,MISC,Upgrade Product from MWO-226 to MWO-225-POW,300-4015-00,AWR,2,550.00,435.00,230.00,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,VSS-250-P0W,VSS-PURC,VSS for Communication Signals; Purchase/WAN WW/Win,300-4020-00,AWR,1,1100.00,870.00,230.00,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,ANO-229-P0W,ANO-PURC,Full Analog Office with Silicon Libraries. Perpetual WW WAN for Win.,300-4005-00,AWR,1,4125.00,3263.00,862.00,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,HSP-100-P0W,HSP-PURC,Synopsys HSPICE and Simulation Interface; Purchase/WAN WW/Win,300-4000-00,AWR,1,917.00,726.00,191.00,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,FIL-100-P0W,FIL-PURC,Nuhertz Filter Synthesis; Purchase/WAN WW/Win,300-4000-00,AWR,1,458.00,362.00,96.00,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,NXG-100-P0W,NXG-PURC,ACS NETEX-G Extraction Wizard; Purchase/WAN WW/Win,300-4400-00,AWR,1,336.00,266.00,70.00,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,MWO-105-M0W,MWO-MAIN,MWO Linear & Layout; 12M Maint/WAN WW/Win,000-2301-00,AWR,2,1004.50,0.00,2009.00,Normal
