SOP Type,SOP Number,Document Date,Corporate Customer Number,Customer Number,Customer Name,Country from Customer Master,Sales Territory,Item Number,Item Class Code,Item Description,COGS Account Number,PriceLevel,QTY,Unit Price,Markdown Amount,Extended Price,Void Status
Invoice,4847TI(4)C,1/1/2011,,396,Microelectronics Technology,Taiwan,ASIA,MWO-225-TFW,MWO-TERM,MWO for MIC/PCB; Term/Floating/Win,000-2300-00,INT,20,4095,3157.5,18750,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,MWO-105-P0W,MWO-PURC,MWO Linear & Layout; Purchase/WAN WW/Win,300-4015-00,AWR,2,733.5,580.5,306,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,MWO-125-P0W,MWO-PURC,MWO Linear  EMSight  & Layout; Purchase/WAN WW/Win,300-4015-00,AWR,2,1100,870.5,459,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,MWO-225-P0W,MWO-PURC,MWO for MIC/PCB; Purchase/WAN WW/Win,300-4015-00,AWR,2,1466.5,1160,613,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,UPG-PROD,MISC,Upgrade Product from MWO-226 to MWO-225-POW,300-4015-00,AWR,2,550,435,230,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,VSS-250-P0W,VSS-PURC,VSS for Communication Signals; Purchase/WAN WW/Win,300-4020-00,AWR,1,1100,870,230,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,ANO-229-P0W,ANO-PURC,Full Analog Office with Silicon Libraries. Perpetual WW WAN for Win.,300-4005-00,AWR,1,4125,3263,862,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,HSP-100-P0W,HSP-PURC,Synopsys HSPICE and Simulation Interface; Purchase/WAN WW/Win,300-4000-00,AWR,1,917,726,191,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,FIL-100-P0W,FIL-PURC,Nuhertz Filter Synthesis; Purchase/WAN WW/Win,300-4000-00,AWR,1,458,362,96,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,NXG-100-P0W,NXG-PURC,ACS NETEX-G Extraction Wizard; Purchase/WAN WW/Win,300-4400-00,AWR,1,336,266,70,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,MWO-105-M0W,MWO-MAIN,MWO Linear & Layout; 12M Maint/WAN WW/Win,000-2301-00,AWR,2,1004.5,0,2009,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,MWO-125-M0W,MWO-MAIN,MWO Linear  EMSight  & Layout; 12M Maint/WAN WW/Win,000-2301-00,AWR,2,1506.5,0,3013,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,MWO-225-M0W,MWO-MAIN,MWO for MIC/PCB; 12M Maint/WAN WW/Win,000-2301-00,AWR,2,2009,0,4018,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,MWO-226-M0W,MWO-MAIN,MWO for MIC/PCB & Signal Integrity; 12M Maint/WAN WW/Win,000-2301-00,AWR,2,753.5,0,1507,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,VSS-250-M0W,VSS-MAIN,VSS for Communication Signals; 12M Maint/WAN WW/Win,000-2301-00,AWR,1,1507,0,1507,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,ANO-229-M0W,ANO-MAIN,ANO for RFIC; 12M Maint/WAN WW/Win,000-2301-00,AWR,1,5650,0,5650,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,HSP-100-M0W,HSP-MAIN,Synopsys HSPICE and Simulation Interface; 12M Maint/WAN WW/Win,000-2301-00,AWR,1,1256,0,1256,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,FIL-100-M0W,FIL-MAIN,Nuhertz Filter Synthesis; 12M Maint/WAN WW/Win,000-2301-00,AWR,1,628,0,628,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,NXG-100-M0W,NXG-MAIN,ACS NETEX-G Extraction Wizard; 12M Maint/WAN WW/Win,300-4410-00,AWR,1,460,0,460,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,MWO-105-T0W,MWO-TERM,MWO Linear & Layout; Term/WAN WW/Win,000-2300-00,AWR,3,1960,0,5880,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,MWO-125-T0W,MWO-TERM,MWO Linear  EMSight  & Layout; Term/WAN WW/Win,000-2300-00,AWR,1,2940,0,2940,Normal
Invoice,5516CTC-12,1/1/2011,,8813,Honeywell,US,,MWO-225-T0W,MWO-TERM,MWO for MIC/PCB; Term/WAN WW/Win,000-2300-00,AWR,1,4410,0,4410,Normal
