SOP Type,SOP Number,Document Date,Corporate Customer Number,Customer Number,Customer Name,Country from Customer Master,Sales Territory,Item Number,Item Class Code,Item Description,COGS Account Number,PriceLevel,QTY,Unit Price,Markdown Amount,Extended Price,Void Status
Invoice,7765CD(1),5/26/2011,8930,9654-KK,Murata Manufacturing,Japan,ASIA,MWO-228-PFW,MWO-PURC,MWO for MMIC; Purchase/Floating/RID#19661,300-4015-00,JAP,4,77819.14,4575.77,292973.51,Normal
Invoice,7835TMI(1),6/30/2011,,551-DIR,Rohde & Schwarz,GERMANY,EUROPE,MWO-226-MFW,MWO-MAIN,MWO for MIC/PCB & Signal Integrity; 12M Maint/Floating/Win,000-2301-00,EUR,27,6417,207,167670,Normal
Invoice,7835TMI(1),6/30/2011,,551-DIR,Rohde & Schwarz,GERMANY,EUROPE,MWO-226-MFW,MWO-MAIN,MWO for MIC/PCB & Signal Integrity; 12M Maint/Floating/Win,000-2301-00,EUR,27,6417,207,167670,Normal
Invoice,8360CD,3/31/2012,,9636,Space Labs/Loral,US,NORTH AMERICA,MWO-228-PFW,MWO-PURC,MWO for MMIC; Purchase/Floating/RID#21071,300-4015-00,AWR,6,48000,24000,144000,Normal
Invoice,7794TMD(1),6/22/2011,,51,Cobham Sensor Systems,US,NORTH AMERICA,MWO-228-TFW,MWO-TERM,MWO for MMIC; Term/Floating/RID#19730,000-2300-00,AWR,12,16800,5040,141120,Normal
Invoice,7794TMD(1),6/22/2011,,51,Cobham Sensor Systems,US,NORTH AMERICA,MWO-228-TFW,MWO-TERM,MWO for MMIC; Term/Floating/RID#19730,000-2300-00,AWR,12,16800,5040,141120,Normal
Invoice,7794TMD(1),6/22/2011,,51,Cobham Sensor Systems,US,NORTH AMERICA,MWO-226-TFW,MWO-TERM,MWO for MIC/PCB & Signal Integrity; Term/Floating/RID#19741,000-2300-00,AWR,12,13300,3990,111720,Normal
Invoice,7794TMD(1),6/22/2011,,51,Cobham Sensor Systems,US,NORTH AMERICA,MWO-226-TFW,MWO-TERM,MWO for MIC/PCB & Signal Integrity; Term/Floating/RID#19741,000-2300-00,AWR,12,13300,3990,111720,Normal
Invoice,7061CDM(3),3/23/2012,954,72,Boeing,US,NORTH AMERICA,MWO-228-MFW,MWO-MAIN,"MWO for MMIC; 12M Maint/FL RID#1063, ID#300",000-2301-00,AWR,15,6696,0,100440,Normal
Invoice,7980CI,9/28/2011,8930,10540-KK,Nippon Telegraph and Telephone Corporation (NTT),JAPAN,ASIA,MWO-449-PLW,MWO-PURC,MWO for MMIC/Modules; Purchase/Locked/RID#20202,300-4015-00,JAP,1,104881.52,10488.15,94393.37,Normal
Invoice,7918CI,8/30/2011,8930,1757-KK,Miyoshi Electronics Corporation,Japan,ASIA,MWO-246-PFW,MWO-PURC,MWO for MIC/PCB & Signal Integrity; Purchase/Floating/RID#20060,300-4015-00,JAP,1,95190.13,11803.58,83386.55,Normal
Invoice,7704TI(2),3/2/2012,8930,3324-KK,"Toko, Inc",Japan,ASIA,MWO-205-TFW,MWO-TERM,"MWO NonLinear: HB, Layout; Term/Floating/RID#19441",000-2300-00,JAP,5,19497.18,2924.53,82863.26,Normal
Invoice,7063CD(3),3/1/2012,827,478,Northrop Grumman,US,NORTH AMERICA,MWO-248-MFW,MWO-MAIN,"MWO for MMIC:HB,EMSight,AXIEM FS,Layout,DRC,MMIC Libraries 12M Maint/FL/Win",000-2301-00,AWR,11,7533,0,82863,Normal
Invoice,7962CD,9/19/2011,,9636,Space Labs/Loral,US,NORTH AMERICA,MWO-228-PFW,MWO-PURC,MWO for MMIC; Purchase/Floating/RID#20165,300-4015-00,AWR,2,48000,9600,76800,Normal
Invoice,7063CD(3),3/1/2012,827,478,Northrop Grumman,US,NORTH AMERICA,MWO-248-MFW,MWO-MAIN,"MWO for MMIC: HB, EMSight, AXIEM FS, Layout, DRC, MMIC Libraries 12M Maint/Floating/Win",000-2301-00,AWR,10,7533,0,75330,Normal
Invoice,7925CI,8/30/2011,10158,10351,Agency of Defense Development (ADD),SOUTH KOREA,ASIA,MWO-449-PLW,MWO-PURC,MWO for MMIC/Modules; Purchase/Locked/RID#20052,300-4015-00,INT,1,72000,1727.19,70272.81,Normal
Invoice,7956MI,9/16/2011,8930,5144-KK,Furuno Electric,Japan,ASIA,MWO-228-MFW,MWO-MAIN,MWO for MMIC; 12M Maint/Floating/RID#20142,000-2301-00,JAP,5,15149.55,1666.45,67415.51,Normal
Invoice,8355CI,3/31/2012,,10672,Scientific and Production Enterprise New Telecommunications,Russia,EUROPE,MWO-246-PFW,MWO-PURC,MWO for MIC/PCB & Signal Integrity; Purchase/Floating/RID#21062,300-4015-00,INT,1,67200,0,67200,Normal
Invoice,6954TD(3),2/1/2012,,8675,"Alcatel-Lucent Canada, Inc.",US,NORTH AMERICA,MWO-246-TFW,MWO-TERM,MWO for MIC/PCB & Signal Integrity; Term/Floating/Win RID#17505,000-2300-00,AWR,4,19600,3037.9,66248.4,Normal
Invoice,7724CD,4/29/2011,,208,Infineon Technology,USA,NORTH AMERICA,MWO-226-PFW,MWO-PURC,MWO for MIC/PCB & Signal Integrity; Purchase/Floating/RID#19512,300-4015-00,AWR,2,38000,5700,64600,Normal
Invoice,8203CD(1),1/31/2012,,9625,L-3 Communications - Electron Devices,US,NORTH AMERICA,MWO-226-PFW,MWO-PURC,MWO for MIC/PCB & Signal Integrity; Purchase/Floating/RID#20773,300-4015-00,AWR,2,38000,5700,64600,Normal
Invoice,7824CI,6/24/2011,8930,5491-KK,Fujitsu Laboratories Ltd.,Japan,ASIA,MWO-226-PFW,MWO-PURC,MWO for MIC/PCB & Signal Integrity; Purchase/Floating/RID#19834,300-4015-00,JAP,1,63270.84,0,63270.84,Normal
Invoice,7824CI,6/24/2011,8930,5491-KK,Fujitsu Laboratories Ltd.,Japan,ASIA,MWO-226-PFW,MWO-PURC,MWO for MIC/PCB & Signal Integrity; Purchase/Floating/RID#19834,300-4015-00,JAP,1,63270.84,0,63270.84,Normal
